Means,STDs,Min,Max,Num_samples
11.967958333333316,0.5329088378543678,11.025,12.675,900.0
11.994412251655596,0.5140421073687198,11.025,12.625,906.0
11.969319444444457,0.5376419562236703,11.0375,12.625,900.0
11.968694320712693,0.5304674432003044,11.0375,12.625,898.0
11.974217877095006,0.522850427872194,11.0375,12.6875,895.0
11.967416666666686,0.5280666763083649,11.0375,12.6,900.0
11.968359375000006,0.5292593124993825,11.05,12.625,896.0
11.97370545657011,0.5359204527813081,11.0375,12.6375,898.0
11.991118421052553,0.5045252783982567,11.05,12.6125,912.0
11.970763422818735,0.5309075299811957,11.025,12.625,894.0
11.973957174638478,0.5295366125725538,11.0375,12.6,899.0
11.970150501672236,0.5290255078223022,11.0375,12.6,897.0
11.966356825749184,0.5288785672749461,11.0375,12.6,901.0
11.96728515624993,0.5303501161403023,11.025,12.5875,896.0
11.974203910614458,0.5256476659519268,11.0375,12.65,895.0
11.953382201646148,0.4891494249195898,11.0375,12.5875,972.0
11.985238623751396,0.5433105682305402,11.025,12.7375,901.0
11.974118141097389,0.5314586037670928,11.025,12.625,893.0
11.97082405345215,0.5275700513546395,11.025,12.65,898.0
