load_bytes	store_bytes	fetch_bytes	uop_bytes	accum_bytes	ofm_dim	ifm_dim	kernel_dim	stride	pad
1451760	3840	1536	16	47040	(4, 4, 240)	(7, 7, 240)	(2, 2)	(2, 2)	(0, 0)
99840	3136	480	16	50176	(7, 7, 64)	(14, 14, 64)	(2, 2)	(2, 2)	(0, 0)
1666560	37632	2224	36	602112	(14, 14, 192)	(28, 28, 192)	(3, 3)	(2, 2)	(0, 0)
158208	18816	1152	36	75264	(14, 14, 96)	(14, 14, 96)	(3, 3)	(1, 1)	(1, 1)
1032192	50176	3472	36	1189888	(28, 28, 64)	(56, 56, 64)	(3, 3)	(2, 2)	(0, 0)
18688	9408	1264	16	150528	(7, 7, 192)	(14, 14, 192)	(2, 2)	(2, 2)	(0, 0)
200544	6144	1152	36	110976	(8, 8, 96)	(17, 17, 96)	(3, 3)	(2, 2)	(0, 0)
4458112	9216	11376	36	200704	(3, 3, 1024)	(7, 7, 1024)	(3, 3)	(2, 2)	(0, 0)
587136	139968	2128	36	559872	(27, 27, 192)	(27, 27, 192)	(3, 3)	(1, 1)	(1, 1)
194816	6272	592	16	93312	(14, 14, 32)	(27, 27, 32)	(2, 2)	(2, 2)	(0, 0)
137280	1568	304	16	25088	(7, 7, 32)	(14, 14, 32)	(2, 2)	(2, 2)	(0, 0)
293120	7840	1856	36	125440	(7, 7, 160)	(14, 14, 160)	(3, 3)	(2, 2)	(0, 0)
373824	50176	2928	36	200704	(14, 14, 256)	(14, 14, 256)	(3, 3)	(1, 1)	(1, 1)
299520	28224	1680	36	112896	(14, 14, 144)	(14, 14, 144)	(3, 3)	(1, 1)	(1, 1)
655360	6144	4336	36	98304	(4, 4, 384)	(8, 8, 384)	(3, 3)	(2, 2)	(0, 0)
137376	21632	1520	36	373248	(13, 13, 128)	(27, 27, 128)	(3, 3)	(2, 2)	(0, 0)
586240	62720	3632	36	250880	(14, 14, 320)	(14, 14, 320)	(3, 3)	(1, 1)	(1, 1)
2037920	100352	5744	36	401408	(14, 14, 512)	(14, 14, 512)	(3, 3)	(1, 1)	(1, 1)
987136	173056	4336	36	692224	(26, 26, 256)	(26, 26, 256)	(3, 3)	(1, 1)	(1, 1)
4947968	25088	3184	16	401408	(7, 7, 512)	(14, 14, 512)	(2, 2)	(2, 2)	(0, 0)
1352704	18432	5744	36	346112	(6, 6, 512)	(13, 13, 512)	(3, 3)	(2, 2)	(0, 0)
380928	40768	976	36	163072	(14, 14, 208)	(14, 14, 208)	(3, 3)	(1, 1)	(1, 1)
355840	31360	688	36	125440	(14, 14, 160)	(14, 14, 160)	(3, 3)	(1, 1)	(1, 1)
611840	100352	21616	16	1605632	(28, 28, 128)	(56, 56, 128)	(2, 2)	(2, 2)	(0, 0)
281280	13872	640	36	235200	(17, 17, 48)	(35, 35, 48)	(3, 3)	(2, 2)	(0, 0)
116736	1568	288	16	25088	(7, 7, 32)	(14, 14, 32)	(2, 2)	(2, 2)	(0, 0)
1148928	18432	22640	36	401408	(3, 3, 2048)	(7, 7, 2048)	(3, 3)	(2, 2)	(0, 0)
56896	7840	1856	36	125440	(7, 7, 160)	(14, 14, 160)	(3, 3)	(2, 2)	(0, 0)
1482624	50176	1648	16	802816	(14, 14, 256)	(28, 28, 256)	(2, 2)	(2, 2)	(0, 0)
430080	100352	1520	36	401408	(28, 28, 128)	(28, 28, 128)	(3, 3)	(1, 1)	(1, 1)
559200	117600	4304	36	1384320	(35, 35, 96)	(35, 35, 96)	(3, 3)	(1, 1)	(1, 1)
573440	12288	2224	36	49152	(8, 8, 192)	(8, 8, 192)	(3, 3)	(1, 1)	(1, 1)
380128	100352	19824	36	1189888	(56, 56, 32)	(56, 56, 32)	(3, 3)	(1, 1)	(1, 1)
491520	5120	2016	16	81920	(4, 4, 320)	(8, 8, 320)	(2, 2)	(2, 2)	(0, 0)
566784	12960	1072	16	184960	(9, 9, 160)	(17, 17, 160)	(2, 2)	(2, 2)	(0, 0)
3612672	802816	10352	16	262144	(112, 112, 64)	(224, 224, 64)	(2, 2)	(2, 2)	(0, 0)
587136	32448	2128	36	559872	(13, 13, 192)	(27, 27, 192)	(3, 3)	(2, 2)	(0, 0)
397440	11664	1792	36	285120	(27, 27, 16)	(55, 55, 16)	(3, 3)	(2, 2)	(0, 0)
792576	9408	2208	36	150528	(7, 7, 192)	(14, 14, 192)	(3, 3)	(2, 2)	(0, 0)
362496	25088	5744	36	401408	(7, 7, 512)	(14, 14, 512)	(3, 3)	(2, 2)	(0, 0)
1482624	200704	2928	36	802816	(28, 28, 256)	(28, 28, 256)	(3, 3)	(1, 1)	(1, 1)
165888	6272	864	16	100352	(7, 7, 128)	(14, 14, 128)	(2, 2)	(2, 2)	(0, 0)
672960	6144	2400	16	75264	(4, 4, 384)	(7, 7, 384)	(2, 2)	(2, 2)	(0, 0)
